Subject	Meta-Relation	Object
NELL:physiologicalconditionpossiblytreatedbydrug	rdfs:domain	NELL:physiologicalcondition
NELL:sportsteampositionathlete	rdfs:domain	NELL:sportsteamposition
NELL:roadaccidenthadguilty	rdfs:domain	NELL:roadaccidentevent
NELL:atlocation	rdfs:domain	NELL:everypromotedthing
NELL:inverseofmountainatgeopoliticallocation	rdfs:domain	NELL:geopoliticallocation
NELL:awardtrophytournamentwasawardedonstadium	rdfs:domain	NELL:awardtrophytournament
NELL:hasvisualappearance	rdfs:domain	NELL:visualizablething
NELL:zipcodeinlocation	rdfs:domain	NELL:zipcode
NELL:haswikipediaurl	rdfs:domain	NELL:everypromotedthing
NELL:religionusesplaceofworship	rdfs:domain	NELL:religion
NELL:itemusedatlocation	rdfs:domain	NELL:item
NELL:riveremptiesintoriver	rdfs:domain	NELL:river
NELL:locationlocatedwithinlocation	rdfs:domain	NELL:location
NELL:hotelwasbuiltatfarm	rdfs:domain	NELL:hotel
NELL:restaurantlocatedinskyscraper	rdfs:domain	NELL:restaurant
NELL:officebuildingroominbuilding	rdfs:domain	NELL:officebuildingroom
NELL:farmlocatedinstate	rdfs:domain	NELL:farm
NELL:buildinglocatedincity	rdfs:domain	NELL:building
NELL:museumincity	rdfs:domain	NELL:museum
NELL:hospitalincity	rdfs:domain	NELL:hospital
NELL:hotelincity	rdfs:domain	NELL:hotel
NELL:restaurantincity	rdfs:domain	NELL:restaurant
NELL:airportincity	rdfs:domain	NELL:airport
NELL:shoppingmallincity	rdfs:domain	NELL:shoppingmall
NELL:stadiumlocatedincity	rdfs:domain	NELL:stadiumoreventvenue
NELL:citylocatedingeopoliticallocation	rdfs:domain	NELL:city
NELL:citylocatedincountry	rdfs:domain	NELL:city
NELL:citycapitalofcountry	rdfs:domain	NELL:city
NELL:citylocatedinstate	rdfs:domain	NELL:city
NELL:citycapitalofstate	rdfs:domain	NELL:city
NELL:countrylocatedingeopoliticallocation	rdfs:domain	NELL:country
NELL:farmlocatedincountry	rdfs:domain	NELL:farm
NELL:streetincity	rdfs:domain	NELL:street
NELL:mountaininstate	rdfs:domain	NELL:mountain
NELL:trainstationincity	rdfs:domain	NELL:trainstation
NELL:lakeinstate	rdfs:domain	NELL:lake
NELL:statelocatedingeopoliticallocation	rdfs:domain	NELL:stateorprovince
NELL:statelocatedincountry	rdfs:domain	NELL:stateorprovince
NELL:attractionofcity	rdfs:domain	NELL:attraction
NELL:attractionbefallincity	rdfs:domain	NELL:attraction
NELL:transportationincity	rdfs:domain	NELL:transportation
NELL:aquariumincity	rdfs:domain	NELL:aquarium
NELL:parkincity	rdfs:domain	NELL:park
NELL:zooincity	rdfs:domain	NELL:zoo
NELL:cityliesonriver	rdfs:domain	NELL:city
NELL:eventatlocation	rdfs:domain	NELL:event
NELL:meetingeventtitleinofficebuildingroom	rdfs:domain	NELL:meetingeventtitle
NELL:meetingeventtitleinbuilding	rdfs:domain	NELL:meetingeventtitle
NELL:itemexistsatlocation	rdfs:domain	NELL:item
NELL:vegetableisproducedatcountry	rdfs:domain	NELL:vegetable
NELL:agriculturalproductgrowinginstateorprovince	rdfs:domain	NELL:agriculturalproduct
NELL:vegetableproductioninstateorprovince	rdfs:domain	NELL:vegetable
NELL:agriculturalproductcamefromcountry	rdfs:domain	NELL:agriculturalproduct
NELL:itemfoundinroom	rdfs:domain	NELL:item
NELL:furniturefoundinroom	rdfs:domain	NELL:furniture
NELL:agriculturalproductproducedbyfarm	rdfs:domain	NELL:agriculturalproduct
NELL:productproducedincountry	rdfs:domain	NELL:product
NELL:weaponmadeincountry	rdfs:domain	NELL:weapon
NELL:agentrelatedtolocation	rdfs:domain	NELL:agent
NELL:inverseofcountryisthehomeofsportsteam	rdfs:domain	NELL:sportsteam
NELL:criminalarrestedincountry	rdfs:domain	NELL:criminal
NELL:agenthaswebsite	rdfs:domain	NELL:agent
NELL:organizationhasofficialwebsite	rdfs:domain	NELL:organization
NELL:newpaperhaswebsite	rdfs:domain	NELL:newspaper
NELL:politicianrepresentslocation	rdfs:domain	NELL:politician
NELL:personhascitizenship	rdfs:domain	NELL:person
NELL:personleadscountry	rdfs:domain	NELL:politician
NELL:agentactsinlocation	rdfs:domain	NELL:agent
NELL:coachworksincountry	rdfs:domain	NELL:coach
NELL:persondiedinlocation	rdfs:domain	NELL:person
NELL:persondiedincountry	rdfs:domain	NELL:person
NELL:persondiedinstateorprovince	rdfs:domain	NELL:person
NELL:persondiedincity	rdfs:domain	NELL:person
NELL:newspaperincity	rdfs:domain	NELL:newspaper
NELL:personborninlocation	rdfs:domain	NELL:person
NELL:personbornincountry	rdfs:domain	NELL:person
NELL:personborninstateorprovince	rdfs:domain	NELL:person
NELL:personbornincity	rdfs:domain	NELL:person
NELL:writerwasbornincity	rdfs:domain	NELL:person
NELL:organizationactsinlocation	rdfs:domain	NELL:organization
NELL:organizationhasbuilding	rdfs:domain	NELL:organization
NELL:organizationheadquarteredincity	rdfs:domain	NELL:organization
NELL:headquarteredin	rdfs:domain	NELL:company
NELL:organizationheadquarteredincountry	rdfs:domain	NELL:organization
NELL:organizationheadquarteredinstateorprovince	rdfs:domain	NELL:organization
NELL:hasofficeincountry	rdfs:domain	NELL:company
NELL:bankbankincountry	rdfs:domain	NELL:bank
NELL:automobilemakerdealersincountry	rdfs:domain	NELL:automobilemaker
NELL:universityincity	rdfs:domain	NELL:university
NELL:teamhomestadium	rdfs:domain	NELL:sportsteam
NELL:leaguestadiums	rdfs:domain	NELL:sportsleague
NELL:hasofficeincity	rdfs:domain	NELL:company
NELL:radiostationincity	rdfs:domain	NELL:radiostation
NELL:automobilemakerdealersincity	rdfs:domain	NELL:automobilemaker
NELL:televisionstationincity	rdfs:domain	NELL:televisionstation
NELL:teamplaysincity	rdfs:domain	NELL:sportsteam
NELL:athletehomestadium	rdfs:domain	NELL:athlete
NELL:personhasresidenceinlocation	rdfs:domain	NELL:person
NELL:personhasresidenceincity	rdfs:domain	NELL:person
NELL:personhasresidenceincountry	rdfs:domain	NELL:person
NELL:personhasresidenceinstateorprovince	rdfs:domain	NELL:person
NELL:personmovedtostateorprovince	rdfs:domain	NELL:person
NELL:malemovedtostateorprovince	rdfs:domain	NELL:male
NELL:personhasresidenceingeopoliticallocation	rdfs:domain	NELL:person
NELL:inverseofdiseasecausesphysiologicalcondition	rdfs:domain	NELL:physiologicalcondition
NELL:clothmadeofplant	rdfs:domain	NELL:clothing
NELL:locationofroadaccident	rdfs:domain	NELL:location
NELL:fooddecreasestheriskofdisease	rdfs:domain	NELL:food
NELL:officeheldbypolitician	rdfs:domain	NELL:politicaloffice
NELL:officeheldbypoliticianus	rdfs:domain	NELL:politicaloffice
NELL:roadaccidentcasualtiesnumber	rdfs:domain	NELL:roadaccidentevent
NELL:athleteplayssport	rdfs:domain	NELL:athlete
NELL:arthropodthatfeedoninsect	rdfs:domain	NELL:arthropod
NELL:bacteriaisthecausativeagentofphysiologicalcondition	rdfs:domain	NELL:bacteria
NELL:injuredinbombing	rdfs:domain	NELL:person
NELL:coachstudiedatuniversity	rdfs:domain	NELL:coach
NELL:inverseofemotionassocietedwithdisease	rdfs:domain	NELL:disease
NELL:dateofevent	rdfs:domain	NELL:date
NELL:economicsectorcompany	rdfs:domain	NELL:economicsector
NELL:companyproducesvideogamesystem	rdfs:domain	NELL:company
NELL:sportsteampositionreceivedathlete	rdfs:domain	NELL:sportsteamposition
NELL:scoreofsportsgame	rdfs:domain	NELL:gamescore
NELL:concepthasprerequisite	rdfs:domain	NELL:scientificterm
NELL:inverseofislandhasskiarea	rdfs:domain	NELL:skiarea
NELL:persondiedatage	rdfs:domain	NELL:person
NELL:personinacademicfield	rdfs:domain	NELL:person
NELL:inverseofmusicsongisatrackofmusicalbum	rdfs:domain	NELL:musicalbum
NELL:inverseofsoftwareprogrammedinprogramminglanguage	rdfs:domain	NELL:programminglanguage
NELL:commentatorofearthquake	rdfs:domain	NELL:person
NELL:currencycountry	rdfs:domain	NELL:currency
NELL:earthquakehadmagnitude	rdfs:domain	NELL:earthquakeevent
NELL:numberofinjuredinprotest	rdfs:domain	NELL:nonneginteger
NELL:timeofbombing	rdfs:domain	NELL:time
NELL:countrylanguage	rdfs:domain	NELL:country
NELL:personineconomicsector	rdfs:domain	NELL:person
NELL:religionofperson	rdfs:domain	NELL:religion
NELL:sportteam	rdfs:domain	NELL:sport
NELL:plantgrowinginplant	rdfs:domain	NELL:plant
NELL:inverseofsportfansincountry	rdfs:domain	NELL:country
NELL:latitudelongitudeof	rdfs:domain	NELL:llcoordinate
NELL:agentinvolvedwithitem	rdfs:domain	NELL:agent
NELL:cafeservescoffeedrink	rdfs:domain	NELL:caf_
NELL:musicianplaysinstrument	rdfs:domain	NELL:musician
NELL:producesproduct	rdfs:domain	NELL:company
NELL:automakerproducesmodel	rdfs:domain	NELL:automobilemaker
NELL:agentworkedondrug	rdfs:domain	NELL:humanagent
NELL:mlauthorofsoftware	rdfs:domain	NELL:mlauthor
NELL:wineryproduceswine	rdfs:domain	NELL:winery
NELL:producesproducttype	rdfs:domain	NELL:company
NELL:moviethatgeneratestelevisionshow	rdfs:domain	NELL:movie
NELL:visualartistartform	rdfs:domain	NELL:visualartist
NELL:inverseofdateofevent	rdfs:domain	NELL:event
NELL:agentinteractswithagent	rdfs:domain	NELL:agent
NELL:hasfamilymember	rdfs:domain	NELL:person
NELL:hassibling	rdfs:domain	NELL:person
NELL:sisterof	rdfs:domain	NELL:female
NELL:brotherof	rdfs:domain	NELL:male
NELL:hasbrother	rdfs:domain	NELL:person
NELL:hassister	rdfs:domain	NELL:person
NELL:parentofperson	rdfs:domain	NELL:person
NELL:fatherofperson	rdfs:domain	NELL:male
NELL:biologicalfatherofperson	rdfs:domain	NELL:male
NELL:motherofperson	rdfs:domain	NELL:female
NELL:biologicalmotherofperson	rdfs:domain	NELL:female
NELL:personhasparent	rdfs:domain	NELL:person
NELL:personhasfather	rdfs:domain	NELL:person
NELL:personhasbiologicalfather	rdfs:domain	NELL:person
NELL:personhasmother	rdfs:domain	NELL:person
NELL:personhasbiologicalmother	rdfs:domain	NELL:person
NELL:hasspouse	rdfs:domain	NELL:person
NELL:husbandof	rdfs:domain	NELL:male
NELL:hashusband	rdfs:domain	NELL:person
NELL:haswife	rdfs:domain	NELL:person
NELL:wifeof	rdfs:domain	NELL:female
NELL:agentcompeteswithagent	rdfs:domain	NELL:agent
NELL:competeswith	rdfs:domain	NELL:company
NELL:teamplaysagainstteam	rdfs:domain	NELL:sportsteam
NELL:animalpredators	rdfs:domain	NELL:animal
NELL:inverseofarachnidiseatenbybird	rdfs:domain	NELL:bird
NELL:inverseofanimalfeedoninsect	rdfs:domain	NELL:insect
NELL:inverseofmammaleatsinsect	rdfs:domain	NELL:insect
NELL:animalpreyson	rdfs:domain	NELL:animal
NELL:arachnidiseatenbybird	rdfs:domain	NELL:arachnid
NELL:animalthatfeedoninsect	rdfs:domain	NELL:animal
NELL:mammaleatsinsect	rdfs:domain	NELL:mammal
NELL:agentcollaborateswithagent	rdfs:domain	NELL:agent
NELL:directorworkedwithactor	rdfs:domain	NELL:director
NELL:actorworkedwithdirector	rdfs:domain	NELL:actor
NELL:companyhasshareholder	rdfs:domain	NELL:company
NELL:agentholdssharesincompany	rdfs:domain	NELL:agent
NELL:politicianendorsedbypolitician	rdfs:domain	NELL:politician
NELL:politicianusendorsedbypoliticianus	rdfs:domain	NELL:politicianus
NELL:politicianendorsespolitician	rdfs:domain	NELL:politician
NELL:politicianusendorsespoliticianus	rdfs:domain	NELL:politicianus
NELL:agenthierarchicallybelowagent	rdfs:domain	NELL:agent
NELL:athletecoach	rdfs:domain	NELL:athlete
NELL:agentbelongstoorganization	rdfs:domain	NELL:humanagent
NELL:subpartoforganization	rdfs:domain	NELL:organization
NELL:televisionstationaffiliatedwith	rdfs:domain	NELL:televisionstation
NELL:teamplaysinleague	rdfs:domain	NELL:sportsteam
NELL:acquiredby	rdfs:domain	NELL:company
NELL:inverseofbankboughtbank	rdfs:domain	NELL:bank
NELL:agentrepresentsorganization	rdfs:domain	NELL:humanagent
NELL:agentleadsorganization	rdfs:domain	NELL:humanagent
NELL:personleadsorganization	rdfs:domain	NELL:person
NELL:topmemberoforganization	rdfs:domain	NELL:person
NELL:ceoof	rdfs:domain	NELL:ceo
NELL:inverseofautomobilemakerchiefexecutiveceo	rdfs:domain	NELL:ceo
NELL:inverseofbankchiefexecutiveceo	rdfs:domain	NELL:ceo
NELL:personleadsgeopoliticalorganization	rdfs:domain	NELL:person
NELL:personleadscity	rdfs:domain	NELL:politician
NELL:personbelongstoorganization	rdfs:domain	NELL:person
NELL:athleteplayedforschool	rdfs:domain	NELL:athlete
NELL:athleteplaysforteam	rdfs:domain	NELL:athlete
NELL:athleteledsportsteam	rdfs:domain	NELL:athlete
NELL:worksfor	rdfs:domain	NELL:person
NELL:personhiredbyorganization	rdfs:domain	NELL:person
NELL:coachesteam	rdfs:domain	NELL:coach
NELL:personterminatedbyorganization	rdfs:domain	NELL:person
NELL:journalistwritesforpublication	rdfs:domain	NELL:journalist
NELL:politicianmemberofpoliticsgroup	rdfs:domain	NELL:politician
NELL:politicianusmemberofpoliticalgroup	rdfs:domain	NELL:politicianus
NELL:coachesinleague	rdfs:domain	NELL:coach
NELL:musicianinmusicartist	rdfs:domain	NELL:musician
NELL:personattendsschool	rdfs:domain	NELL:person
NELL:persongraduatedschool	rdfs:domain	NELL:person
NELL:persongraduatedfromuniversity	rdfs:domain	NELL:person
NELL:athleteplaysinleague	rdfs:domain	NELL:athlete
NELL:teammate	rdfs:domain	NELL:athlete
NELL:agenthierarchicallyaboveagent	rdfs:domain	NELL:agent
NELL:organizationhasagent	rdfs:domain	NELL:organization
NELL:organizationrepresentedbyagent	rdfs:domain	NELL:organization
NELL:organizationleadbyagent	rdfs:domain	NELL:organization
NELL:organizationleadbyperson	rdfs:domain	NELL:organization
NELL:organizationhastopmember	rdfs:domain	NELL:company
NELL:companyceo	rdfs:domain	NELL:company
NELL:automobilemakerchiefexecutiveceo	rdfs:domain	NELL:automobilemaker
NELL:bankchiefexecutiveceo	rdfs:domain	NELL:bank
NELL:geopoliticalorganizationleadbyperson	rdfs:domain	NELL:geopoliticalorganization
NELL:cityleadbyperson	rdfs:domain	NELL:city
NELL:superpartoforganization	rdfs:domain	NELL:organization
NELL:acquired	rdfs:domain	NELL:company
NELL:bankboughtbank	rdfs:domain	NELL:bank
NELL:leagueteams	rdfs:domain	NELL:sportsleague
NELL:televisioncompanyaffiliate	rdfs:domain	NELL:televisionnetwork
NELL:organizationhasperson	rdfs:domain	NELL:organization
NELL:inverseofathleteplayedforschool	rdfs:domain	NELL:school
NELL:schoolattendedbyperson	rdfs:domain	NELL:school
NELL:schoolgraduatedperson	rdfs:domain	NELL:school
NELL:inverseofpersongraduatedfromuniversity	rdfs:domain	NELL:university
NELL:worker	rdfs:domain	NELL:organization
NELL:organizationterminatedperson	rdfs:domain	NELL:organization
NELL:publicationjournalist	rdfs:domain	NELL:publication
NELL:teamcoach	rdfs:domain	NELL:sportsteam
NELL:organizationhiredperson	rdfs:domain	NELL:organization
NELL:leagueplayers	rdfs:domain	NELL:sportsleague
NELL:leaguecoaches	rdfs:domain	NELL:sportsleague
NELL:musicartistmusician	rdfs:domain	NELL:musicartist
NELL:politicalgroupofpolitician	rdfs:domain	NELL:politicsgroup
NELL:politicalgroupofpoliticianus	rdfs:domain	NELL:politicsgroup
NELL:teammember	rdfs:domain	NELL:sportsteam
NELL:inverseofathleteledsportsteam	rdfs:domain	NELL:sportsteam
NELL:coachesathlete	rdfs:domain	NELL:coach
NELL:commentatorofprotest	rdfs:domain	NELL:person
NELL:bombingattacker	rdfs:domain	NELL:bombingevent
NELL:roadaccidentinjured	rdfs:domain	NELL:roadaccidentevent
NELL:agentstudiesphysiologicalcondition	rdfs:domain	NELL:person
NELL:plantrepresentemotion	rdfs:domain	NELL:plant
NELL:earthquakehadsource	rdfs:domain	NELL:earthquakeevent
NELL:astronautwasonamissionwithastronaut	rdfs:domain	NELL:astronaut
NELL:deathageofperson	rdfs:domain	NELL:nonneginteger
NELL:equipmentusedbysport	rdfs:domain	NELL:sportsequipment
NELL:agentcreated	rdfs:domain	NELL:agent
NELL:agentcreatedorganization	rdfs:domain	NELL:person
NELL:agentcausedevent	rdfs:domain	NELL:agent
NELL:inverseofclothmadeofplant	rdfs:domain	NELL:plant
NELL:earthquakeinjured	rdfs:domain	NELL:earthquakeevent
NELL:timeofearthquake	rdfs:domain	NELL:time
NELL:roadaccidenthadvictim	rdfs:domain	NELL:roadaccidentevent
NELL:inverseofattractionmadeofbuildingmaterial	rdfs:domain	NELL:buildingmaterial
NELL:agriculturalproductgrowninlandscapefeatures	rdfs:domain	NELL:agriculturalproduct
NELL:bombingwitness	rdfs:domain	NELL:bombingevent
NELL:injuredinprotest	rdfs:domain	NELL:person
NELL:physiologicalconditionstudedbyperson	rdfs:domain	NELL:physiologicalcondition
NELL:sportusesequipment	rdfs:domain	NELL:sport
NELL:inverseofbacteriaisthecausativeagentofphysiologicalcondition	rdfs:domain	NELL:physiologicalcondition
NELL:arthropodbesometimesconfusewithinsect	rdfs:domain	NELL:arthropod
NELL:mutualproxyfor	rdfs:domain	NELL:everypromotedthing
NELL:isoneoccurrenceof	rdfs:domain	NELL:everypromotedthing
NELL:proxyfor	rdfs:domain	NELL:everypromotedthing
NELL:citystadiums	rdfs:domain	NELL:city
NELL:citysportsteams	rdfs:domain	NELL:city
NELL:ismultipleof	rdfs:domain	NELL:everypromotedthing
NELL:proxyof	rdfs:domain	NELL:everypromotedthing
NELL:countryleadbyperson	rdfs:domain	NELL:country
NELL:statehascapital	rdfs:domain	NELL:stateorprovince
NELL:countrycapital	rdfs:domain	NELL:country
NELL:synonymfor	rdfs:domain	NELL:everypromotedthing
NELL:personalsoknownas	rdfs:domain	NELL:person
NELL:coachalsoknownas	rdfs:domain	NELL:coach
NELL:athletealsoknownas	rdfs:domain	NELL:athlete
NELL:organizationalsoknownas	rdfs:domain	NELL:organization
NELL:organizationacronymhasname	rdfs:domain	NELL:organization
NELL:companyalsoknownas	rdfs:domain	NELL:company
NELL:teamalsoknownas	rdfs:domain	NELL:sportsteam
NELL:organizationnamehasacronym	rdfs:domain	NELL:organization
NELL:stadiumalsoknownas	rdfs:domain	NELL:stadiumoreventvenue
NELL:countryalsoknownas	rdfs:domain	NELL:country
NELL:arthropodcalledarthropod	rdfs:domain	NELL:arthropod
NELL:cityalsoknownas	rdfs:domain	NELL:city
NELL:inverseofarthropodcalledarthropod	rdfs:domain	NELL:arthropod
NELL:languageofuniversity	rdfs:domain	NELL:language
NELL:drughassideeffect	rdfs:domain	NELL:drug
NELL:drugpossiblytreatsphysiologicalcondition	rdfs:domain	NELL:drug
NELL:istallerthan	rdfs:domain	NELL:everypromotedthing
NELL:inverseofautomobilemakercardealersinstateorprovince	rdfs:domain	NELL:stateorprovince
NELL:inverseofmammalinducesemotion	rdfs:domain	NELL:emotion
NELL:inverseoflanguagespokenatisland	rdfs:domain	NELL:island
NELL:numberofinjuredinroadaccident	rdfs:domain	NELL:nonneginteger
NELL:ethnicgroupofperson	rdfs:domain	NELL:ethnicgroup
NELL:politicianuswenttoschool	rdfs:domain	NELL:politicianus
NELL:inverseofcoachcanspeaklanguage	rdfs:domain	NELL:language
NELL:numberofcasualtiesinearthquake	rdfs:domain	NELL:nonneginteger
NELL:automobilemakercardealersinstateorprovince	rdfs:domain	NELL:automobilemaker
NELL:buildingfeaturemadefrombuildingmaterial	rdfs:domain	NELL:buildingfeature
NELL:personwrittenaboutinpublication	rdfs:domain	NELL:person
NELL:sportsgamesport	rdfs:domain	NELL:sportsgame
NELL:academicfieldusedinjobposition	rdfs:domain	NELL:academicfield
NELL:inverseofagriculturalproductcontainchemical	rdfs:domain	NELL:chemical
NELL:issueofpoliticsbill	rdfs:domain	NELL:politicsissue
NELL:academicfieldusedbyeconomicsector	rdfs:domain	NELL:academicfield
NELL:grainusedtomakecandy	rdfs:domain	NELL:grain
NELL:players	rdfs:domain	NELL:sport
NELL:eventcausedbyevent	rdfs:domain	NELL:event
NELL:launchingproducttype	rdfs:domain	NELL:productlaunchevent
NELL:sportnamehasoriginlanguage	rdfs:domain	NELL:sport
NELL:sportusesstadium	rdfs:domain	NELL:sport
NELL:inverseofagriculturalproductcutintogeometricshape	rdfs:domain	NELL:geometricshape
NELL:universityoperatesinlanguage	rdfs:domain	NELL:university
NELL:meetingeventtitlehasmeetingeventtype	rdfs:domain	NELL:meetingeventtitle
NELL:prodctlaunchingproductprice	rdfs:domain	NELL:productlaunchevent
NELL:bombingcausedbyexplosive	rdfs:domain	NELL:bombingevent
NELL:inverseofbeveragemadefrombeverage	rdfs:domain	NELL:beverage
NELL:arthropodcanbeveryirritatingtomammal	rdfs:domain	NELL:arthropod
NELL:scenecontainsobject	rdfs:domain	NELL:visualizablescene
NELL:companyofproductlaunch	rdfs:domain	NELL:company
NELL:agentcontributedtocreativework	rdfs:domain	NELL:agent
NELL:directordirectedmovie	rdfs:domain	NELL:director
NELL:writerwrotebook	rdfs:domain	NELL:writer
NELL:actorstarredinmovie	rdfs:domain	NELL:actor
NELL:protesthadactor	rdfs:domain	NELL:protestevent
NELL:injuredinroadaccident	rdfs:domain	NELL:person
NELL:stateorprovinceisborderedbystateorprovince	rdfs:domain	NELL:stateorprovince
NELL:subjectconcernedbyacademicfield	rdfs:domain	NELL:everypromotedthing
NELL:subfieldofacademicfield	rdfs:domain	NELL:academicfield
NELL:beveragecansoftendisease	rdfs:domain	NELL:beverage
NELL:attackerinbombing	rdfs:domain	NELL:agent
NELL:meatcomesfromanimal	rdfs:domain	NELL:meat
NELL:athleteflyouttosportsteamposition	rdfs:domain	NELL:athlete
NELL:inverseoflanguegeschoolincity	rdfs:domain	NELL:city
NELL:economicsectorhasperson	rdfs:domain	NELL:economicsector
NELL:reasonofcollision	rdfs:domain	NELL:everypromotedthing
NELL:locatedat	rdfs:domain	NELL:location
NELL:mountainatgeopoliticallocation	rdfs:domain	NELL:mountain
NELL:inverseofawardtrophytournamentwasawardedonstadium	rdfs:domain	NELL:stadiumoreventvenue
NELL:visualappearanceof	rdfs:domain	NELL:url
NELL:locationinzipcode	rdfs:domain	NELL:location
NELL:wikipediaurlof	rdfs:domain	NELL:url
NELL:placeofworshippracticesreligion	rdfs:domain	NELL:placeofworship
NELL:riverflowsthroughcity	rdfs:domain	NELL:river
NELL:locationofitemuse	rdfs:domain	NELL:location
NELL:locationrelatedtoagent	rdfs:domain	NELL:location
NELL:countryisthehomeofsportsteam	rdfs:domain	NELL:country
NELL:inverseofcriminalarrestedincountry	rdfs:domain	NELL:country
NELL:countryhascitizen	rdfs:domain	NELL:country
NELL:websiteoperatedbyagent	rdfs:domain	NELL:website
NELL:officialwebsiteoforganization	rdfs:domain	NELL:website
NELL:inverseofnewpaperhaswebsite	rdfs:domain	NELL:website
NELL:locationactedinbyagent	rdfs:domain	NELL:location
NELL:inverseofcoachworksincountry	rdfs:domain	NELL:country
NELL:locationofpersondeath	rdfs:domain	NELL:location
NELL:cityofpersondeath	rdfs:domain	NELL:city
NELL:stateorprovinceofpersondeath	rdfs:domain	NELL:stateorprovince
NELL:countryofpersondeath	rdfs:domain	NELL:country
NELL:locationofpersonbirth	rdfs:domain	NELL:location
NELL:stateorprovinceofpersonbirth	rdfs:domain	NELL:stateorprovince
NELL:countryofpersonbirth	rdfs:domain	NELL:country
NELL:cityofpersonbirth	rdfs:domain	NELL:city
NELL:inverseofwriterwasbornincity	rdfs:domain	NELL:city
NELL:locationresidenceofperson	rdfs:domain	NELL:location
NELL:stateorprovinceresidenceofperson	rdfs:domain	NELL:stateorprovince
NELL:countryresidenceofperson	rdfs:domain	NELL:country
NELL:cityresidenceofperson	rdfs:domain	NELL:city
NELL:inverseofpersonmovedtostateorprovince	rdfs:domain	NELL:stateorprovince
NELL:inverseofmalemovedtostateorprovince	rdfs:domain	NELL:stateorprovince
NELL:geopoliticallocationresidenceofpersion	rdfs:domain	NELL:geopoliticallocation
NELL:citynewspaper	rdfs:domain	NELL:city
NELL:locationactedinbyorganization	rdfs:domain	NELL:location
NELL:buildingbelongstoorganization	rdfs:domain	NELL:building
NELL:countryoforganizationheadquarters	rdfs:domain	NELL:country
NELL:stateorprovinceoforganizationheadquarters	rdfs:domain	NELL:stateorprovince
NELL:cityoforganizationheadquarters	rdfs:domain	NELL:city
NELL:companiesheadquarteredhere	rdfs:domain	NELL:city
NELL:cityuniversities	rdfs:domain	NELL:city
NELL:stadiumhometeam	rdfs:domain	NELL:stadiumoreventvenue
NELL:cityhascompanyoffice	rdfs:domain	NELL:city
